CGS	;CGS
ESF	;European Social Fund  ESF;European Union  European Social Fund -  ESF;European Union  European Social Fund - ESF
national natural science funds of China	;national natural science funds of China
Estonian Science foundation	;Estonian Science foundation
Intelligent Process Control System for Biomass Fuelled industrial Power Plants	;Intelligent Process Control System for Biomass Fuelled industrial Power Plants
Sapienza Universita di Roma	;Sapienza Universita di Roma
Tecnologico de Monterrey	;Tecnologico de Monterrey
Computer Systems Engineering Research Group at the University Putra Malaysia 43400 Serdang Selangor Darul Ehsan Malaysia	;Computer Systems Engineering Research Group at the University Putra Malaysia 43400 Serdang Selangor Darul Ehsan Malaysia
North China University of Technology Key Lab on  Field Bus and Automation Technology  of Beijing China	;North China University of Technology Key Lab on  Field Bus and Automation Technology  of Beijing China
ABRI	;Architecture and Building Research Institute  ABRI
Consejeria de Innovacion Ciencia y Empresas  Junta de Andalucia	;Consejeria de Innovacion Ciencia y Empresas  Junta de Andalucia
CAPES/MEC	;CAPES/MEC  Brazilian Ministry of Education
SENACYT	;National Secretary of Science and Technology  SENACYT  of the government of the Republic of Panama
Spain's Ministerio de Educacion y Ciencia	;Spain's Ministerio de Educacion y Ciencia
DRDC	;DRDC Ottawa
Editorial Board	;Editorial Board
EAFIT	;Universidad EAFIT
SIRIS	;SIRIS
Hu-Jiang Fund	;Hu-Jiang Fund
Beijing Project of Science and Technology Plan	;Beijing Project of Science and Technology Plan
Area Metropolitana del Valle de Aburra	;Area Metropolitana del Valle de Aburra
Spanish National project	;Spanish National project
National Key Project on Water Pollution Control of China	;National Key Project on Water Pollution Control of China
NRL	;NRL
UEFISCSU	;UEFISCSU Romania
US Department of Homeland Security - National Center for Food Protection and Defense at the University of Minnesota	;US Department of Homeland Security - National Center for Food Protection and Defense at the University of Minnesota
Program for the  Bingwei  Excellent Talents from the Institute of Geographic Sciences and Natural Resources Research Chinese Academy of Sciences	;Program for the  Bingwei  Excellent Talents from the Institute of Geographic Sciences and Natural Resources Research Chinese Academy of Sciences
Eurocores	;Eurocores
DIAMANT	;DIAMANT  a mathematics cluster of the Netherlands Organization for Scientific Research NWO
Ros Roca Group	;Ros Roca Group
School of Information Technology and Electrical Engineering University of Queensland	;School of Information Technology and Electrical Engineering University of Queensland
SEGUR@	;project SEGUR@
King Abdulaziz University of Saudi Arabia	;King Abdulaziz University of Saudi Arabia
Brazilian Scientific and Technological Development Council  CNPq	;Brazilian Scientific and Technological Development Council  CNPq
German National Academic Foundation	;German National Academic Foundation
Fundamental Research Grant Scheme by Malaysia Ministry of Higher Education	;Fundamental Research Grant Scheme by Malaysia Ministry of Higher Education
FWO	;Flanders Research Foundation  FWO;Fonds voor Wetenschappelijk Onderzoek  FWO;FWO Vlaanderen
country science support plan China	;country science support plan China
Co-ordination for Improvement of Higher Level Personnel-CAPES	;Co-ordination for Improvement of Higher Level Personnel-CAPES
Ministry of Education Culture Sports Science and Technology Japan at Osaka University	;Ministry of Education Culture Sports Science and Technology Japan at Osaka University
United Kingdom Engineering and Physical Research Council	;United Kingdom Engineering and Physical Research Council
Taipei City Government	;Taipei City Government
Environmental biology lab of Environmental Sciences department Faculty of Science Alexandria University Alexandria Egypt	;Environmental biology lab of Environmental Sciences department Faculty of Science Alexandria University Alexandria Egypt
CNPq pelo fomento	;CNPq pelo fomento
CARTAM-SAT	;project CARTAM-SAT  CARtographie du Territoire AMazonien  des Satellites aux AcTeurs - Dynamic mapping of Amazonian Territories  from Satellites to Actors
Regione Calabria	;Regione Calabria
Saudi Aramco	;Saudi Aramco
University of TehranIran	;University of TehranIran
CNPq  Brazilian National Research Council	;CNPq  Brazilian National Research Council
National 973 Program of China	;National 973 Program of China
MHRD	;MHRD Govt of India;Ministry of Human Resource Development  MHRD  New Delhi India
Petroleum and Chemical Engineering Department Sultan Qaboos University	;Petroleum and Chemical Engineering Department Sultan Qaboos University
Spanish project EdeTRI	;Spanish project EdeTRI
Research Institute at King Fahd University of Petroleum and Minerals Saudi Arabia	;Research Institute at King Fahd University of Petroleum and Minerals Saudi Arabia
FQRNT	;Fonds Quebecois de la Recherche sur la Nature et les Technologies  FQRNT;Fonds Quebecois sur la Nature et les Technologies  FQRNT
State Ministry of science and technological development  Serbia	;State Ministry of science and technological development  Serbia
Leading Scientific Schools of Russian Federation	;Leading Scientific Schools of Russian Federation
National Basic Research Program of China	;National Basic Research Program of China
Foundation of Nokia Corporation	;Foundation of Nokia Corporation
Vice Chancellor for Research and Technology Kermanshah University of Medical Sciences	;Vice Chancellor for Research and Technology Kermanshah University of Medical Sciences
NOAA	;National Oceanic and Atmospheric Administration  NOAA
Polish-Norwegian Financial Mechanism Small Grant Scheme	;Polish-Norwegian Financial Mechanism Small Grant Scheme
Dongfeng Peugeot Citroen Automobile Company Limited	;Dongfeng Peugeot Citroen Automobile Company Limited
7FP	;7FP Marie Curie Actions IRSES project
Ministry of ScienceTechnology and Innovation of Malaysia	;Ministry of ScienceTechnology and Innovation of Malaysia
Microsoft Corporation	;Microsoft Corporation
FSE	;FSE
Xunta de Galicia Spain	;Xunta de Galicia Spain
University of Malaya Ministry of Higher Education High Impact Research	;University of Malaya Ministry of Higher Education High Impact Research
Australian Centre of Excellence for Mathematics and Statistics of Complex Systems	;Australian Centre of Excellence for Mathematics and Statistics of Complex Systems
Brazilian Law	;Brazilian Law
Spanish JCyL	;Spanish JCyL
EC-7PM-SpaceBook	;EC-7PM-SpaceBook
American Society for Gastrointestinal Endoscopy Covidien Senior Mentoring Award	;American Society for Gastrointestinal Endoscopy Covidien Senior Mentoring Award
School of Electronics & Computer Scienceton	;School of Electronics & Computer Scienceton
King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia	;King Abdulaziz City for Science and Technology Kingdom of Saudi Arabia
National Science Foundation of Hebei Province	;National Science Foundation of Hebei Province
European Union - European Regional Development Fund	;European Union - European Regional Development Fund
University of Granada  Spain	;University of Granada  Spain
Midi-Pyrenees region	;Midi-Pyrenees region
Northeast Dianli University Dr  Scientific Research Foundation Project China	;Northeast Dianli University Dr  Scientific Research Foundation Project China
Research Project of Science and Technology	;Research Project of Science and Technology
SRC	;SRC
Japanese Monbukagakusho	;Japanese Monbukagakusho
Malaysian Technical University Research Grant	;Malaysian Technical University Research Grant
Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior	;Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior
Saint-Petersburg Government	;Saint-Petersburg Government
MLTM	;Korea Institute of Construction and Transportation Technology Evaluation and Planning under the Ministry of Land Transport and Maritime Affairs  MLTM
CNMP	;CNMP
Structural Funds of the European Union	;Structural Funds of the European Union
Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia	;Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia
MT-LAB	;MT-LAB
Natural Science of Foundation of China	;Natural Science of Foundation of China
Pfizer Inc	;Pfizer Inc
Lithuanian state science and studies foundation	;Lithuanian state science and studies foundation
Faperj	;Faperj
state and federal funds	;state and federal funds
Natural Science Foundation of Zhejiang Province	;Natural Science Foundation of Zhejiang Province
research grant fund in Inje University	;research grant fund in Inje University
Zhejiang Provincial Natural Science Foundation of China	;Zhejiang Provincial Natural Science Foundation of China
UCARE	;UCARE program at the University of Nebraska-Lincoln
Samsung Electronics Software RD Center	;Samsung Electronics Software RD Center
Nano-Age Technology Group in Mashhad Iran	;Nano-Age Technology Group in Mashhad Iran
Doctor Fund of Yanshan University	;Doctor Fund of Yanshan University
Guangxi Education Department	;Guangxi Education Department
Air Force Research Laboratory Information Directorate Office of Naval Research Grant	;Air Force Research Laboratory Information Directorate Office of Naval Research Grant
National Science and Technology supporting Plan  Olympic specific research program	;National Science and Technology supporting Plan  Olympic specific research program
program for New Century Excellent Talents in University	;program for New Century Excellent Talents in University
CINVESTAV-IPN	;CINVESTAV-IPN
Delegation Regionale a la Recherche et a la Technologie	;Delegation Regionale a la Recherche et a la Technologie
engineering laboratory fund projects of National Local Joint Engineering Laboratory	;engineering laboratory fund projects of National Local Joint Engineering Laboratory
Novartis	;Novartis
TOPS	;Traffic Operations and Safety  TOPS  lab at the University of Wisconsin-Madison
Department of Engineering Systems and Design at the Universitat Jaume I	;Department of Engineering Systems and Design at the Universitat Jaume I
Fond quebecois de la recherche en science et technologie	;Fond quebecois de la recherche en science et technologie
OIT	;Ontario Innovation Trust  OIT
Cluster of Excellence for Multi-Modal Computing and Interaction	;Cluster of Excellence for Multi-Modal Computing and Interaction
Russian Scientific Foundation	;Russian Scientific Foundation
Sun Microsystems	;Sun Microsystems
Australian Research Council under Discovery	;Australian Research Council under Discovery
Interop NoE 6th EU FP	;Interop NoE 6th EU FP
I+D+I	;Autonomous Government of La Rioja under its 3er Plan Riojano de I+D+I via project FOMENTA;Ministerio de Ciencia y Tecnologia I+D+I
NIGMS	;NIGMS NIH HHS
Graduate Student Innovation Practice Foundation of Beihang University in China	;Graduate Student Innovation Practice Foundation of Beihang University in China
Chinese Academy of Sciences Pioneer Hundred Talents Program	;Chinese Academy of Sciences Pioneer Hundred Talents Program
Cyprus Research Promotion Foundation	;Cyprus Research Promotion Foundation
European Committee	;European Committee
V  Vera Dental Surgery	;V  Vera Dental Surgery
Este trabajo esta parcialmente financiado par  Consejeria de Innovacion Ciencia y Empresa Junta de Andalucia  Espana	;Este trabajo esta parcialmente financiado par  Consejeria de Innovacion Ciencia y Empresa Junta de Andalucia  Espana
Fundacao para o Incremento da Pesquisa e do Aperfeicoamento Industrial	;Fundacao para o Incremento da Pesquisa e do Aperfeicoamento Industrial
EDF	;EDF Energy and ABB;EDF Energy Networks
Polish Ministry of Science and Higher Education	;Polish Ministry of Science and Higher Education
National Institute of Diabetes and Digestive and Kidney Diseases	;National Institute of Diabetes and Digestive and Kidney Diseases
DGICYT	;DGICYT  Innovacion en la prctica cientfica  enfoques cognitivos y sus consecuencias filosficas
State High-Tech Development Plan	;State High-Tech Development Plan
DIKTI	;Directorate General of Higher Education in Indonesia  DIKTI
Medical Research Council  UK	;Medical Research Council  UK
DSTO	;Defence Science and Technology Organisation  DSTO  Airservices Australia;Defence Science and Technology Organization  DSTO  Australia
OCAST	;Oklahoma Center for the Advancement of Science and Technology  OCAST
UWO	;University of Western Ontario  UWO
Secondary & Informal Education	;Secondary & Informal Education
UABC	;University of Baja California  UABC
Grant schemes of MS SR	;Grant schemes of MS SR
CONSOLIDER-INGENIO	;CONSOLIDER-INGENIO
IPACTS	;program Marie-Curie for IPACTS  International Partnership for Advanced Coatings by Thermal Spraying
Auxiliary Researcher contract from Program  Ciencia	;Auxiliary Researcher contract from Program  Ciencia
Mexican National Council for Science and Technology  CONACyT	;Mexican National Council for Science and Technology  CONACyT
State of Texas Emergency Technology Fund	;State of Texas Emergency Technology Fund
Dynamic Security Monitoring and Control under Ministry of Education China	;Dynamic Security Monitoring and Control under Ministry of Education China
Technology Strategy Board	;Technology Strategy Board
BK 21 Plus  Big Data in Manufacturing and Logistics Systems Korea University	;BK 21 Plus  Big Data in Manufacturing and Logistics Systems Korea University
Alexander von Humboldt Foundation Bonn Germany	;Alexander von Humboldt Foundation Bonn Germany
HIR	;high impact research  HIR  from the Ministry of Higher Education Malaysia
CNPq - Brazilian National Council for Scientific and Technological Development	;CNPq - Brazilian National Council for Scientific and Technological Development
Brazilian National Research Council	;Brazilian National Research Council
Diputacion General de Aragon	;Diputacion General de Aragon
University of Kansas	;University of Kansas
SGS	;SGS project from Technical University of Liberec
PARK	;National Project IPv_Park-Intelligence System for PhotoVoltaic PARK Management GSRT  NSRF Programme
German company Festo	;German company Festo
PCP	;Integrated Production Process Automation France-Venezuela PCP Program
UK Biotechnology and Biological Sciences Research Council	;UK Biotechnology and Biological Sciences Research Council
PRISMA	;Project PRISMA  PiattafoRme cloud Interoperabili per SMArt-government  - Italian Program for Research and Innovation  Programma Operativo Nazionale Ricerca e Competitivita
Regional Innovation Strategy Support Program of the Lake Biwa Environmental Industry Development Area	;Regional Innovation Strategy Support Program of the Lake Biwa Environmental Industry Development Area
INEO	;INEO
ARDB	;Aeronautics Research and Development Board  ARDB  Government of India
Foundation for the Advancement of Soft Computing Mieres Asturias Spain	;Foundation for the Advancement of Soft Computing Mieres Asturias Spain
Australian Postgraduate Award	;Australian Postgraduate Award
Consolidated Edison Company of New York	;Consolidated Edison Company of New York
Department of Trade and Industry	;Department of Trade and Industry
K  H  Renlunds stiftelsen	;K  H  Renlunds stiftelsen
Marmara University Directorate of Scientific Research Projects	;Marmara University Directorate of Scientific Research Projects
Ministry of Human Resource Development Government of India	;Ministry of Human Resource Development Government of India
National Science Foundation  SynBERC	;National Science Foundation  SynBERC
Telemedicine & Advanced Technology Research Center US Army Medical Research and Materiel Command US Department of Defense	;Telemedicine & Advanced Technology Research Center US Army Medical Research and Materiel Command US Department of Defense
Tozzi Renewable Energy S  p  A	;Tozzi Renewable Energy S  p  A
research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir	;research project  Uncertainty propagation in the hydrological and water management applications for mitigation of drought on the open water reservoir
New Taipei City Government	;New Taipei City Government
Consejeria de Innovacion Ciencia y Empresa de la Junta de Andalucia  Spain	;Consejeria de Innovacion Ciencia y Empresa de la Junta de Andalucia  Spain
National High-tech Research and Development Program of China	;National High-tech Research and Development Program of China
Centre Hospitalier Universitaire de Toulouse Toulouse France	;Centre Hospitalier Universitaire de Toulouse Toulouse France
INSF	;Iran National Science Foundation  INSF
Menofia University  Egypt	;Menofia University  Egypt
Simon Fraser University	;Simon Fraser University
National Science Center in Poland	;National Science Center in Poland
Knut and Alice Wallenberg Foundation	;Knut and Alice Wallenberg Foundation
Yildiz Technical University	;Yildiz Technical University
Hanson Formpave part of the Heidelberg Cement Group	;Hanson Formpave part of the Heidelberg Cement Group
FERET	;FERET
Korean Government	;Korean Government
Universite Paul Sabatier	;Universite Paul Sabatier
EEA	;EEA Financial Mechanism under ROKIDAIR;EEA Financial Mechanism under the project ROKIDAIR - Towards a better protection of children against air pollution threats in the urban areas of Romania;EEA Financial Mechanism under the project ROKIDAIR  Towards a better protection of children against air pollution threats in the urban areas of Romania;Iceland Liechtenstein and Norway through the EEA Financial Mechanism
Society for Analytical Chemists of Pittsburgh	;Society for Analytical Chemists of Pittsburgh
CNPq through the program  Ciencia sem Fronteiras	;CNPq through the program  Ciencia sem Fronteiras
Verein zur Forderung des biologisch - technologischen Fortschritts in der Medizin	;Verein zur Forderung des biologisch - technologischen Fortschritts in der Medizin
ESRC	;Economic and Social Sciences Researcher Council  ESRC  under the TLRP-TEL programme
Norwegian University of Science and Technology under the Generation Control Centres for Smart Grids project	;Norwegian University of Science and Technology under the Generation Control Centres for Smart Grids project
King Fahd University of Petroleum and Mineral Saudi Arabia	;King Fahd University of Petroleum and Mineral Saudi Arabia
Delta-Fly Pharma	;Delta-Fly Pharma
FAEPEX-UNICAMP	;FAEPEX-UNICAMP
Polish National Ministry for Science & Higher Education	;Polish National Ministry for Science & Higher Education
University of Luxembourg-Institute for Systems	;University of Luxembourg-Institute for Systems
Warwick Centre for Analytical Science	;Warwick Centre for Analytical Science
Ministry of Economy and Competitiveness of Spain	;Ministry of Economy and Competitiveness of Spain
University of Tehran	;University of Tehran
Blizzard Entertainment Inc	;Blizzard Entertainment Inc
Fondo Europeo de Desarrollo Regional	;Fondo Europeo de Desarrollo Regional
Enersul - Energias do Brasil S A  from Brazil	;Enersul - Energias do Brasil S A  from Brazil
Microsoft Studios	;Microsoft Studios
NIOC-RTD	;National Iranian Oil Company Research and Technology Directorate  NIOC-RTD
Wolf Creek Foundation	;Wolf Creek Foundation
DIUC	;Direccion de Investigacion de la Universidad de Cuenca  DIUC
Guangdong Innovative Research Team Program Guangdong China	;Guangdong Innovative Research Team Program Guangdong China
MARSRERC	;MARSRERC program of the Rehabilitation Institute of Chicago
CUSF	;Chinese Universities Scientific Fund  CUSF
Spanish projects	;Spanish projects
Singapore National Research Foundation under International Research Centre @ Singapore Funding Initiative	;Singapore National Research Foundation under International Research Centre @ Singapore Funding Initiative
Junta de Castilla and Leon project	;Junta de Castilla and Leon project
French Research Agency	;French Research Agency
IJCAI	;AT Journal Foundation through the IJCAI Board
Department of Energy & Mineral Engineering	;Department of Energy & Mineral Engineering
Ministry of Higher Education of Malaysia	;Ministry of Higher Education of Malaysia
Italian Research Project of the Regione Campania	;Italian Research Project of the Regione Campania
Iranian Central Oil Fields Company	;Iranian Central Oil Fields Company
ID_592/	;PN II ID_592/
Cancer Prevention and Research Institute of Texas	;Cancer Prevention and Research Institute of Texas
Australian Governments Department of Broadband Communications and the Digital Economy	;Australian Governments Department of Broadband Communications and the Digital Economy
IUT	;IUT de Lens
ACIISI	;Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion  ACIISI  of Canary Islands Autonomic Government
TSWG	;Technical Support Working Group  TSWG
CNPq-National Council for Research and Development of Brazil	;CNPq-National Council for Research and Development of Brazil
Motorola	;Motorola
University of Berne	;University of Berne
European Science Foundation	;European Science Foundation
US National Science Foundation	;US National Science Foundation
MAARIFAH	;National Plan for Sciences Technology and Innovation  MAARIFAH
Youth Foundation of Beijing Wuzi University	;Youth Foundation of Beijing Wuzi University
NAFOSTED	;Vietnam National Foundation for Science and Technology Development  NAFOSTED
Research Funds of Renmin University of China	;Research Funds of Renmin University of China
National University of Singapore	;National University of Singapore
CEN	;CEN
Natural Science Foundation of JiangXi Province  Study on E-commerce Personalized Recommendation Systems Based on Knowledge Grid  China	;Natural Science Foundation of JiangXi Province  Study on E-commerce Personalized Recommendation Systems Based on Knowledge Grid  China
National Natural Science Founction of China	;National Natural Science Founction of China
European Convergence Office	;European Convergence Office
National Institutes of Health	;National Institutes of Health
LTRC	;Louisiana Transportation Research Center  LTRC
SORSAS	;SORSAS scheme
Commission on Higher Education	;Commission on Higher Education
Natural Science Foundation of Fujian Province	;Natural Science Foundation of Fujian Province
Swiss National Foundation for Research	;Swiss National Foundation for Research
National Science Centre	;National Science Centre
Coventry University	;Coventry University
973 Program	;973 Program
Hong Kong Polytechnic University	;Hong Kong Polytechnic University
World Wildlife Fund	;World Wildlife Fund
DRIMS	;Spanish Ministry of Science and Innovation DRIMS
National Institute of Biomedical Imaging and Bioengineering	;National Institute of Biomedical Imaging and Bioengineering
Portuguese Science and Technology Foundation	;Portuguese Science and Technology Foundation
UNIVERSITI	;UNIVERSITI TEKNOLOGI PETRONAS
Dutch company Heijmans Techniek Mobiliteit	;Dutch company Heijmans Techniek Mobiliteit
ERDF	;Development Operational Programme - ERDF;ERDF;ERDF - European Regional Development Fund through the COMPETE Programme  operational programme for competitiveness;ERDF funds;EU ERDF;European Regional Development Fund  ERDF  under TACTICA project;European Regional Development Fund  ERDF  project  NTIS - New Technologies for Information Society  European Centre of Excellence;Research & Development Operational Programme - ERDF
Ministry of Science & Technology of China	;Ministry of Science & Technology of China
APVV	;Slovak Grant Agency APVV
THALES	;Greek national funds through the Operational Program  Education and Lifelong Learning  under the program THALES
National Council of Scientific and Technologic Development of Brazil - CNPq	;National Council of Scientific and Technologic Development of Brazil - CNPq
Ministry of research technology and higher education of the Republic of Indonesia	;Ministry of research technology and higher education of the Republic of Indonesia
Domestic Nuclear Detection Office under Department of Homeland Security	;Domestic Nuclear Detection Office under Department of Homeland Security
Oceans and Human Health Initiative of NOAA's Office of Global Programs Center for Sponsored Coastal Ocean Research	;Oceans and Human Health Initiative of NOAA's Office of Global Programs Center for Sponsored Coastal Ocean Research
Soar Technologies	;Soar Technologies
Bournemouth University	;Bournemouth University
PRIN	;Italian Ministry for University Scientific Research and Technology  PRIN;Italian Ministry of Education and Research under Italian National PRIN Programme;Italian PRIN project on  Con- straints and preferences as a unifying formalism for system analysis and solution of real-life problems;MiUR Italy  PRIN project  Integrated Approaches to Discrete and Nonlinear Optimization
Science and Technology Department Foundation of Shanghai Science and Technology Committee	;Science and Technology Department Foundation of Shanghai Science and Technology Committee
CNPq/Brazil	;CNPq/Brazil
QUOTIENT	;Welsh Government Ser Cymru QUOTIENT project
Israel Council for Higher Education	;Israel Council for Higher Education
Spanish Ministry of Education and Science	;Spanish Ministry of Education and Science
Spanish Ministry of Science Education	;Spanish Ministry of Science Education
INTERSTRESS	;European Union INTERSTRESS project  ICT Grant
France-Venezuela cooperation program	;France-Venezuela cooperation program
7th Framework Programme of the European Union	;7th Framework Programme of the European Union
Institute of Education Sciences	;Institute of Education Sciences
Volkswagen Foundation Germany	;Volkswagen Foundation Germany
Koine Sistemi	;Koine Sistemi
University of Malaya Malaysia	;University of Malaya Malaysia
TMHRI	;TMHRI
Specialized Research Fund for the Doctoral Program of Higher Education of China	;Specialized Research Fund for the Doctoral Program of Higher Education of China
FAPERGSBrazil	;FAPERGSBrazil
Research Foundation-Flanders	;Research Foundation-Flanders
POSDRU	;POSDRU Romania
MAIA	;MAIA EOLIS
Riga Technical University	;Riga Technical University
Beijing Municipal commission of Education	;Beijing Municipal commission of Education
Teaching Innovation Service of the University of Huelva	;Teaching Innovation Service of the University of Huelva
Polytechnic Institute of Leiria  Portugal	;Polytechnic Institute of Leiria  Portugal
project Handling Uncertainty in Data Intensive Applications	;project Handling Uncertainty in Data Intensive Applications
ORISE	;Oak Ridge Institute for Science and Education  ORISE
University of Texas at Dallas antE - Institute for Research in Anticipatory Systems	;University of Texas at Dallas antE - Institute for Research in Anticipatory Systems
Department of Petroleum Engineering	;Department of Petroleum Engineering
Callaghan Innovation Education Fellowship	;Callaghan Innovation Education Fellowship
MICAI	;9th Mexican International Conference on Artificial Intelligence  MICAI
Korean Ministry of Knowledge Economy	;Korean Ministry of Knowledge Economy
Wallenberg Foundation	;Wallenberg Foundation
Ghent University	;Ghent University
CHRON	;CHRON  Cognitive Heterogeneous Reconfigurable Optical Network  project
Korea Research Foundation	;Korea Research Foundation
FAA	;FAA Aviation Weather Research Program through Interagency Agreement
National Institute on Aging the National Institute of Biomedical Imaging and Bioengineering	;National Institute on Aging the National Institute of Biomedical Imaging and Bioengineering
NAIP	;World Bank Funded - National Agricultural Innovation Project  NAIP  ICAR Grants
Sectoral Operational Programme for Human Resources Development	;Sectoral Operational Programme for Human Resources Development
Asian Office of Aerospace Research and Development	;Asian Office of Aerospace Research and Development
NNSFC	;Joint Foundation of the National Natural Science Foundation of China  NNSFC;NNSFC  National Natural Science Foundation of China
Grant Agency of the Czech Technical University in Prague	;Grant Agency of the Czech Technical University in Prague
Norwegian Research Council	;Norwegian Research Council
Research Council of Norway	;Research Council of Norway
Ministry of Education of the Czech Republic under program  National research program II	;Ministry of Education of the Czech Republic under program  National research program II
Catalan Government	;Catalan Government
Fund of the State Ethnic Affairs Commission of the People's Republic of China	;Fund of the State Ethnic Affairs Commission of the People's Republic of China
Key Project of Chinese Ministry of Education	;Key Project of Chinese Ministry of Education
BMVBS	;research initiative  Zukunft Bau  of the German Federal Ministry for Transport Building and Urban Development  BMVBS
project  Development of a geospatial database for the exploitation of the energy resource along the Galician Coast  - Barrie de la Maza Foundation	;project  Development of a geospatial database for the exploitation of the energy resource along the Galician Coast  - Barrie de la Maza Foundation
National Science and Technology major projects in China	;National Science and Technology major projects in China
Space and Naval Warfare Systems Center Pacific	;Space and Naval Warfare Systems Center Pacific
NWO	;applied science division of NWO;Dutch National Research Council under the NWO Smart Energy Systems program;Dutch Organisation for Scientific Research  NWO;Netherlands Organisation for Scientific Research  NWO;Netherlands Organisation for Scientific Research  NWO  under Project Go4Nature;Netherlands Organization for Scientific Research  NWO;NWO;NWO  Netherlands Organisation for Scientific Research -ACTS;NWO grant Knowledge-based Automated Reasoning Radboud University Nijmegen;NWO Project Go for Go
Center for Research Resources	;Center for Research Resources
Natural Science Research Project of Education Department of Henan Province	;Natural Science Research Project of Education Department of Henan Province
Canadian Institutes of Health Research	;Canadian Institutes of Health Research
Ministry of Science Technology and Innovation of Malaysia	;Ministry of Science Technology and Innovation of Malaysia
Hellenic Ministry of Culture	;Hellenic Ministry of Culture
Fundacao para o Desenvolvimento da Unesp  Fundunesp	;Fundacao para o Desenvolvimento da Unesp  Fundunesp
Computer Science National Programme of the Spanish Ministry of Economy and Competitiveness	;Computer Science National Programme of the Spanish Ministry of Economy and Competitiveness
Hong Kong Polytechnic University Research	;Hong Kong Polytechnic University Research
NIBIB	;NIBIB NIH HHS
Ramon y Cajal program of the Spanish Ministry of Science and Innovation	;Ramon y Cajal program of the Spanish Ministry of Science and Innovation
Federal Ministry for Education and Science in Germany	;Federal Ministry for Education and Science in Germany
CIT	;Innovation and Technologies  CIT
FIRB	;FIRB;Italian Ministry for Education University and Research within the FIRB - Futuro in Ricerca project Structures and dynamics of knowledge and cognition  Bologna
NIOC	;National Iranian Oil Company  NIOC
CyberSpace Research Institute	;CyberSpace Research Institute
DOD	;DOD Counterdrug Technology Development Program Office
SERC	;SERC Division Department of Science and Technology Government of India
Center for Fundamental Living Technology  FLinT	;Center for Fundamental Living Technology  FLinT
National Grand Fundamental Research 863 Program of China	;National Grand Fundamental Research 863 Program of China
Medtronic	;Medtronic
Artificial Intelligence Research Unit  AiRU	;Artificial Intelligence Research Unit  AiRU
ARIAD	;ARIAD
Biohousing Research Center	;Biohousing Research Center
GACR	;GACR
Ministry of Education and Science Poland	;Ministry of Education and Science Poland
Swedish Foundation for Strategic Research	;Swedish Foundation for Strategic Research
UNS	;Secretaria de Ciencia y Tecnologia UNS Argentina;Universidad Nacional del Sur  UNS;UNS Argentina
Excellence Project of Junta de Andalucia	;Excellence Project of Junta de Andalucia
Shanghai Pujiang Program	;Shanghai Pujiang Program
Arab Republic of Egypt	;Arab Republic of Egypt
Cemagref and Basse-Normandie Regional Council	;Cemagref and Basse-Normandie Regional Council
Faculty of Biomedical Engineering Czech Technical University in Prague	;Faculty of Biomedical Engineering Czech Technical University in Prague
FRACTOS	;project  FRACTOS  granted by the French Region Centre
MICINN	;Government of Spain  MICINN;Juan de la Cierva Ministerio de Ciencia e Innovacion  MICINN  Spain;MICINN;MICINN  Ministerio de Ciencia e Innovacion Spain;MICINN TIN;Ministry of Science and Innovation  Ministerio de Ciencia e Innovacion - MICINN  through the  Jose Castillejo  program from Government of Spain;Spanish Board for Science and Technology  MICINN;Spanish Government  MICINN;Spanish MICINN;Spanish MICINN under project ANYSELF
IWT-Vlaanderen	;IWT-Vlaanderen
ANR	;Agence Nationale de la Recherche  ANR;ANR;ANR Blanc Micrac;ANR LARDONS project;ANR UNLOC;ANR young researchers grant  Creadapt;French national research agency  ANR DAG project
European Union	;European Union
IZKF	;Interdisciplinary Center for Clinical Research  IZKF Aachen  RWTH Aachen University Medical School Aachen Germany
Korea Ministry of Environment	;Korea Ministry of Environment
ARDA	;ARDA and the National Geospatial-Intelligence Agency  NGA
National Oceanography Department Malaysia	;National Oceanography Department Malaysia
Ministry of Education Science and Technological Development  Government of the Republic of Serbia	;Ministry of Education Science and Technological Development  Government of the Republic of Serbia
FKZ	;German Federal Ministry of Education and Research  FKZ
Institute for Robotics and Intelligent Systems of Canada	;Institute for Robotics and Intelligent Systems of Canada
European Research Council under the European Union	;European Research Council under the European Union
Ministry of Education Youth and Sports	;Ministry of Education Youth and Sports
IRCSET's Embark Initiative	;IRCSET's Embark Initiative
USSOCOM	;USSOCOM
Universiti Teknologi Malaysia	;Universiti Teknologi Malaysia
Graduate University of Advanced Technology	;Graduate University of Advanced Technology
Jaypee University Engineering & Technology Guna  M P	;Jaypee University Engineering & Technology Guna  M P
project TR	;project TR
mOSAIC	;mOSAIC
Progetto di Ateneo on  Computational Integer Programming  of the University of Padova	;Progetto di Ateneo on  Computational Integer Programming  of the University of Padova
Wolfgang Pauli Institute Vienna	;Wolfgang Pauli Institute Vienna
Ministry of Foreign Relations	;Ministry of Foreign Relations
