111 Project	111 Project;
EEDSM Hub	EEDSM Hub;
EEE project	EEE project;
Evergreen Aviation Technologies  EGAT  of APS	Evergreen Aviation Technologies  EGAT  of APS;
EGIDE/DAAD-PROCOPE	EGIDE/DAAD-PROCOPE;
eHealth in Motion Ltd	eHealth in Motion Ltd;
Eidos Interactive Ltd	Eidos Interactive Ltd;
EIT ICT Labs in the Medical Cyber-Physical Systems activity	EIT ICT Labs in the Medical Cyber-Physical Systems activity;
Electrical & Electronics Engineering Dept Sam Higginbottom Institute of Agriculture Technology & Sciences- Deemed University Allahabad India	Electrical & Electronics Engineering Dept Sam Higginbottom Institute of Agriculture Technology & Sciences- Deemed University Allahabad India;
Electrical Engineering Doctoral Program from the National Polytechnic School  Ecuador	Electrical Engineering Doctoral Program from the National Polytechnic School  Ecuador;
Electronics and Telecommunications Research Institute	Electronics and Telecommunications Research Institute;
ELEKTRO Power Distribution Company	ELEKTRO Power Distribution Company;
EMBL	EMBL;
EMBRAPA - Brazilian Agricultural Research Corporation	Empresa Brasileira de Pesquisa Agropecuaria  EMBRAPA;EMBRAPA - Brazilian Agricultural Research Corporation;
Embry-Riddle Aeronautical University	Embry-Riddle Aeronautical University;
Endeavour Award	Endeavour Award;
ENERGOS	ENERGOS;
Enersul - Energias do Brasil S A  from Brazil	Enersul - Energias do Brasil S A  from Brazil through its research and development program;Enersul - Energias do Brasil S A  from Brazil;
Federal University of Ceara  Welding Engineering Laboratory  ENGESOLDA	Federal University of Ceara  Welding Engineering Laboratory  ENGESOLDA;
Engineering and Physical Science Research Council United Kingdom	Engineering and Physical Science Research Council United Kingdom;
Engineering and Physical Sciences Research Council	Engineering and Physical Sciences Research Council's Flood Risk Management Research Consortium;Engineering and Physical Sciences Research Council UK;Engineering and Physical Sciences Research Council;
engineering laboratory fund projects of National Local Joint Engineering Laboratory	engineering laboratory fund projects of National Local Joint Engineering Laboratory;
Engineers Canada-TD Meloche Monnex	Engineers Canada-TD Meloche Monnex;
ENMAX Corporation under the Industrial Research Chairs Program	Enterprise Ireland;ENMAX Corporation under the Industrial Research Chairs Program;
Environment Agency	Environment Agency;
Environmental biology lab of Environmental Sciences department Faculty of Science Alexandria University Alexandria Egypt	Environmental biology lab of Environmental Sciences department Faculty of Science Alexandria University Alexandria Egypt;
Environmental Engineering Program at the American University in Cairo	Environmental Engineering Program at the American University in Cairo;
National Resources - EPEAEK II ARCHIMIDIS	National Resources - EPEAEK II ARCHIMIDIS;
ePolicy EU project	ePolicy EU project;
UK's Engineering and Physical Science Research Council  EPSRC  of the EPRSC Centre for Innovative Manufacturing in Advance Metrology	United Kingdom EPSRC;United Kingdom by the EPSRC Intelligent Agents for Home Energy Management project;UK's Engineering and Physical Sciences Research Council  EPSRC;UK's Engineering and Physical Science Research Council  EPSRC  of the EPRSC Centre for Innovative Manufacturing in Advance Metrology;UK's Engineering and Physical Science Research Council  EPSRC;UK Engineering and Physical Sciences Research Council  EPSRC;U K  Engineering and Physical Sciences Research Council  EPSRC;Imperial College for EPSRC Pathways to Impact;EPSRC Supergen V;EPSRC PROJECT Grant;EPSRC PROJECT;EPSRC PhD<INF>+</INF>;EPSRC Industrial CASE;EPSRC Engineering Doctorate from the VEIV EngD Programme at UCL;EPSRC Doctoral Training Centre;EPSRC Doctoral Prize fellowship;EPSRC CreST Network;EPSRC Cancer Imaging Centre;EPSRC  United Kingdom;EPSRC;Engineering and Physical Sciences Research Council  EPSRC  under project  UCT for Games and Beyond;Engineering and Physical Sciences Research Council  EPSRC;
EPSRC/IMRC	EPSRC/IMRC;
EQUIPEX ROBOTEX France	EQUIPEX ROBOTEX France;
Erasmus Program  European Commission	Erasmus Program  European Commission;
ERC under the European Community	European Research Council  ERC;ERC under the European Community;ERC Starting Grant MultiJEDI;ERC;
ERCIM	ERCIM;
European Regional Development Fund  ERDF  project  NTIS - New Technologies for Information Society  European Centre of Excellence	Research & Development Operational Programme - ERDF;European Regional Development Fund  ERDF  project  NTIS - New Technologies for Information Society  European Centre of Excellence;European Regional Development Fund  ERDF  under TACTICA project;EU ERDF;ERDF funds;ERDF - European Regional Development Fund through the COMPETE Programme  operational programme for competitiveness;ERDF;Development Operational Programme - ERDF;
European Regional Development Fund  ERDF/FEDER	European Regional Development Fund  ERDF/FEDER;
Ministry of Higher Education of Malaysia  MoHE  under Exploratory Research Grant Scheme  ERGS	Ministry of Higher Education of Malaysia  MoHE  under Exploratory Research Grant Scheme  ERGS;Ministry of Higher Education  MoHE  through the Exploratory Research Grant Scheme  ERGS;
European Space Agency  ESA  under the Networking and Partnering Initiative  NPI  Cooperative Systems for Autonomous Exploration Missions	European Space Agency  ESA  within the Advanced Planning and Scheduling Initiative  APSI;European Space Agency  ESA  under the Networking and Partnering Initiative  NPI  Cooperative Systems for Autonomous Exploration Missions;ESA;
European Spinal Cord Injury Federation  ESCIF	European Spinal Cord Injury Federation  ESCIF;
European Union  European Social Fund -  ESF	European Union  European Social Fund - ESF;European Union  European Social Fund -  ESF;European Social Fund  ESF;
European Strategy Forum on Research Infrastructures  ESFRI	European Strategy Forum on Research Infrastructures  ESFRI;
Espi & Le Barbier company	Espi & Le Barbier company;
ESPRC	ESPRC;
Economic and Social Sciences Researcher Council  ESRC  under the TLRP-TEL programme	Economic and Social Sciences Researcher Council  ESRC  under the TLRP-TEL programme;
ESRC/EPSRC/DTUPACCIT	ESRC/EPSRC/DTUPACCIT;
Este trabajo esta parcialmente financiado par  Consejeria de Innovacion Ciencia y Empresa Junta de Andalucia  Espana	Este trabajo esta parcialmente financiado par  Consejeria de Innovacion Ciencia y Empresa Junta de Andalucia  Espana;
Este trabajo esta parcialmente financiado por  Consejeria de Innovacion Ciencia y Empresa  Junta de Andalucia  Espana	Este trabajo esta parcialmente financiado por  Consejeria de Innovacion Ciencia y Empresa  Junta de Andalucia  Espana;
Estonian Science foundation	Estonian Science foundation;
Southern Technical University Science Research Program through the Cultural Relations Department of Missions in Engineering Technical College/Basrah  ETC  - Ministry of Higher Education and Scientific Research	Southern Technical University Science Research Program through the Cultural Relations Department of Missions in Engineering Technical College/Basrah  ETC  - Ministry of Higher Education and Scientific Research;
DS Funds of ETI Faculty Gdansk University of Technology	DS Funds of ETI Faculty Gdansk University of Technology;
Etortek Saiotek and Research Groups	Etortek Saiotek and Research Groups;
eToy Laboratory of the Department of Computing	EU;eToy Laboratory of the Department of Computing;
EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services	EU Aided Asia IT & C of China  Integration and application of technology on rural compositive information services;
EU Directorate General Information Society and Media	EU Directorate General Information Society and Media;
EU Marie Curie Program	EU Marie Curie Program;
EU project MindRACES	EU project MindRACES;
EU research project GA	EU research project GA;
EU-6 Project	EU-6 Project;
EuCognition	EuCognition;
EU-FEDER funds	EU-FEDER funds;
EU-FET grant EVOBLISS project	EU-FET grant EVOBLISS project;
EURATOM 7th Framework Programme	EURATOM 7th Framework Programme;
Spanish Ministry of Industry Tourism and Commerce under the EUREKA project SITIO	Spanish Ministry of Industry Tourism and Commerce under the EUREKA project SITIO;Spanish Ministry of Industry Tourism and Commerce under the EUREKA;EUREKA project;
European Organisation for the Safety of Air Navigation  EUROCONTROL	European Organisation for the Safety of Air Navigation  EUROCONTROL;
Eurocores	European Commission;Eurocores;
European Commission Safer Internet Programme project iCOP  Identifying and Catching Originators in Peer-to-Peer Networks	European Commission Safer Internet Programme project iCOP  Identifying and Catching Originators in Peer-to-Peer Networks;
European Commission under the Easyline+ project	European Commission under the Easyline+ project;
European Commission within the Sixth Framework Programme	European Commission within the Sixth Framework Programme;
European Commission's Directorate-General for Education and Culture	European Commission's Directorate-General for Education and Culture;
European Committee	European Community;European Committee;
European Community's Seventh Framework Programme	European Community's Seventh Framework Programme;
European Convergence Office	European Convergence Office;
European Funds for Regional Development	European Funds for Regional Development;
European funds for the development of innovative economy  Fundusze Europejskie dla rozwoju innowacyjnej gospodarki	European funds for the development of innovative economy  Fundusze Europejskie dla rozwoju innowacyjnej gospodarki;
European Project	European Regional Development Fund;European project Kconnect;European Project;
European Regional Development Fund in the IT4Innovations Centre of Excellence project	European Research Council;European Regional Development Fund in the IT4Innovations Centre of Excellence project;
European Research Council under the European Community	European Research Council under the European Community;
European Research Council under the European Union	European Research Council under the European Union;
European Science Foundation	European Social;European Science Foundation;
European Social Found	European Social Fund;European Social Found;
European Social Fund - Investing in People	European Social Fund - Investing in People within the Sectoral Operational Programme Human Resources Development;European Social Fund - Investing in People;
European Social Fund through project FuturICT hu	European Social Fund through project FuturICT hu;
European Social Fund through Sectorial Operational Program Human Resources	European Social Fund through Sectorial Operational Program Human Resources;
European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University	European Social Fund within project  Support for the implementation of doctoral studies at Riga Technical University;
European Social Fund within the project	European Social Fund within the project;
European Social Fund within the Sectoral Operational Programme Human Resources Development	European Union;European Space Agency;European Social Fund within the Sectoral Operational Programme Human Resources Development;
European Union - European Regional Development Fund	European Union European Social Fund;European Union  European Social Fund;European Union - European Regional Development Fund;
European Union within the Innovative Economy Operational Programme	European Union within the Innovative Economy Operational Programme;
Eurostars EU	EVE;Eurostars EU;
Eve Appeal	Eve Appeal;
EVIDEN project	EVIDEN project;
Flemish Government - department EWI	Flemish Government Department EWI;Flemish Government - department EWI;
Excellence Graduated Scholarships	Excellence Graduated Scholarships;
Excellence Project of Junta de Andalucia	Excellence Project of Junta de Andalucia;
Extremadura Regional Government	Extremadura Regional Government;
FAA Aviation Weather Research Program through Interagency Agreement	FAA Aviation Weather Research Program through Interagency Agreement;
UK Technology Strategy Board FABRIC project	UK Technology Strategy Board FABRIC project;
Facebook Ph D  fellowship	Facebook Ph D  fellowship;
FACEPE	FACEPE;
Facilities for Materials Characterization	Facilities for Materials Characterization;
Faculty of Biomedical Engineering Czech Technical University in Prague	Faculty of Engineering;Faculty of Biomedical Engineering Czech Technical University in Prague;
Faculty of Engineering and Computer Science of Concordia University	Faculty of Engineering and Computer Science of Concordia University;
Faculty of Engineering at the Universidad de los Andes	Faculty of Engineering at the Universidad de los Andes;
Faculty of Engineering at the Universidad del Valle	Faculty of Engineering at the Universidad del Valle;
Faculty of Graduate Studies and Research University of Regina	Faculty of Graduate Studies and Research University of Regina;
Faculty of Information and Communication Technology Mahidol University	Faculty of Information and Communication Technology Mahidol University;
Faculty of Information and Communication Technology Universiti Tunku Abdul Rahman Malaysia	Faculty of Information and Communication Technology Universiti Tunku Abdul Rahman Malaysia;
FAEPEX-UNICAMP	FAEPEX-UNICAMP;
FAPEMA	FAPEMA;
Fundacao de Amparo a Pesquisa do Estado de Minas Gerais  FAPEMIG	Fundacao de Pesquisa do Estado de Minas Gerais  FAPEMIG;Fundacao de Amparo a Pesquisa do Estado de Minas Gerais  FAPEMIG;FAPEMIG - Minas Gerais State Foundation;FAPEMIG - Brazilian research funding agencies;FAPEMIG;Brazilian agency FAPEMIG;
FAPEMIG/INRIA project DMKM	FAPEMIG/INRIA project DMKM;
FAPERGS  State Foundation for Research of Rio Grande do Sul	FAPERGS Foundation;FAPERGS  State Foundation for Research of Rio Grande do Sul;
FAPERGSBrazil	FAPERGSBrazil;
FAPERJ  Fundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio de Janeiro	Faperj;Rio de Janeiro State Research Supporting Foundation  FAPERJ;Fundacao de Amparo a Pesquisa do Estado do Rio de Janeiro - FAPERJ;FAPERJ  Fundacao de Amparo a Pesquisa do Estado do Rio de Janeiro;FAPERJ  Fundacao Carlos Chagas Filho de Amparo a Pesquisa do Estado do Rio de Janeiro;
FAPESB/CNPq	FAPESB/CNPq;
FAPESC	FAPESC;
FAPESP  The Scientific Research Foundation of the State of Sao Paulo Brazil	Sao Paulo Research Foundation  FAPESP;Research Support Foundation of Sao Paulo  FAPESP;Fundacao de Amparo a Pesquisa do Estado de Sao Paulo  FAPESP;FAPESP  The Scientific Research Foundation of the State of Sao Paulo Brazil;FAPESP  Sao Paulo Research Foundation;FAPESP;
FAPESP/Brazil	FAPESP/Brazil;
FAPESPA  Fundacao de Pesquisa do Estado do Para Brazil	FAPESPA  Fundacao de Pesquisa do Estado do Para Brazil;
FAPESP-Sao Paulo Research Foundation Brazil	FAPESP-Sao Paulo Research Foundation Brazil;
Fatih University	Fatih University;
FAU Emerging Fields Initiative  EFIMoves	FAU Emerging Fields Initiative  EFIMoves;
Federal Bureau of Investigation  FBI	Federal Bureau of Investigation  FBI;
Portuguese Foundation for Science and Technology  FCT  in the aims of Ciencia program for the hiring of Post-PhD researchers	Technology and Science Foundation  FCT;Science and Technology Foundation Ministry of Education and Science  FCT  in Portugal;Portuguese Science and Research Foundation FCT  Fundacao para a Ciencia e a Tecnologia;Portuguese Funds through the FCT  Portuguese Foundation for Science and Technology;Portuguese Foundation for Science and Technology  FCT  in the aims of Ciencia program for the hiring of Post-PhD researchers;Portuguese Foundation for Science and Technology  FCT;Portuguese FCT - ACORD - Adaptative Coordination of Robotic Teams;National Funds through FCT - Foundation for Science and Technology;National Funds through FCT;national funds  FCT - Portuguese Foundation for Science and Technology;Fundacao para a Ciencia e Tecnologia  FCT  Portugal;Fundacao para a Ciencia e Tecnologia  FCT  in Portugal;Fundacao para a Ciencia e Tecnologia  FCT  with PhD scholarship;Fundacao para a Ciencia e Tecnologia  FCT;Foundation for Science and Technology  FCT Portugal;Foundation for Science and Technology  FCT;FCT  through the CISTER/IPP-HURRAY research unit;FCT  The Portuguese Foundation for Science and Technology;FCT  Science &Technology Foundation  Portugal;FCT  Science & Technology Foundation  Portugal;FCT  INESC-ID  through the PIDDAC;FCT  Foundation of Science and Technology Portugal;FCT  Foundation for Science and Technology;FCT - Portuguese Science and Technology Foundation;FCT - Fundacao para a Ciencia e Tecnologia;FCT;
FCT-Fundacao para a Ciencia e a Tecnologia  Portuguese Foundation for Science and Technology	FCT-Fundacao para a Ciencia e a Tecnologia  Portuguese Foundation for Science and Technology;
FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface	FCT-Fundacao para a Ciencia e Tecnologia through the project  Intelligent Wheelchair with flexible multi model interface;
FCT-Portugal	FCT-Portugal;
Spanish Ministry of Science and Innovation+European FEDE	Spanish Ministry of Science and Innovation+European FEDE;
European Regional Development Fund of the European Commission  FEDER  project IDEATIO	Ministry of Science and Innovation and co-financed by FEDER;Junta Castilla y Leon FEDER;Fondo Europeo de Desarrollo Regional  FEDER;Fondo de Desarrollo Regional  FEDER;FEDER through the Operational Program Competitiveness Factors - COMPETE;FEDER through COMPETE program;FEDER Funds through the COMPETE programme;FEDER Funds through COMPETE program;FEDER  under the ERDF Program;FEDER  European Union;FEDER - Eixo I of Programa Operacional Factores de Competitividade;FEDER;European Regional Development Funds  FEDER;European Regional Development Fund of the European Commission  FEDER  project IDEATIO;European FEDER;European Commission FEDER funds;EU FEDER;EU  FEDER;EU   FEDER;EC FEDER grant;
Feder Fonds	Feder funds;Feder Fonds;
European Union Funds  FEDER/COMPETE - Operational Competitiveness Programme	European Union Funds  FEDER/COMPETE - Operational Competitiveness Programme;
Federal Highway Administration	Federal Highway Administration;
Federal Ministry for Education and Science in Germany	Federal Ministry for Education and Science in Germany;
Federal Ministry of Economy and Labor Austria	Federal Ministry of Economy and Labor Austria;
Federal Ministry of Economy Family and Youth	Federal Ministry of Economy Family and Youth;
Federal Technological University of Parana	Federal Technological University of Parana;
FEDER-MCYT	FEDER-MCYT;
FedEx Express	FedEx Express;
Fond d'Enseignement et de Recherches  FER  of the Faculty of Pharmacy of Laval University	Fond d'Enseignement et de Recherches  FER  of the Faculty of Pharmacy of Laval University;
FERET	FERET;
Ferrovial Servicios	Ferrovial Servicios;
FH Aachen	FH Aachen;
Universita degli Studi Milano Bicocca FIAR	Universita degli Studi Milano Bicocca FIAR;
FICYT	FICYT;
Research and Projects Financing  FINEP	Research and Projects Financing  FINEP;FINEP  Brazilian Agency;
Italian Ministry for Education University and Research within the FIRB - Futuro in Ricerca project Structures and dynamics of knowledge and cognition  Bologna	Italian Ministry for Education University and Research within the FIRB - Futuro in Ricerca project Structures and dynamics of knowledge and cognition  Bologna;FIRB;
Fully Funded International Research Scholarship  FIRS  University of Leeds UK	Fully Funded International Research Scholarship  FIRS  University of Leeds UK;
FIRST Quantum Information Processing project	FIRST Quantum Information Processing project;FIRST programme from JSPS;
Fisheries and Oceans Canada's National Species at Risk Program	Fisheries and Oceans Canada's National Species at Risk Program;
Fiske Drug Discovery Fund	Fiske Drug Discovery Fund;
German Federal Ministry of Education and Research  FKZ	German Federal Ministry of Education and Research  FKZ;
Flemish Fund for Scientific Research	Flemish Fund for Scientific Research;
Florida Department of Environmental Protection Florida Coastal Management Program  through National Oceanic and Atmospheric Administration	Florida Department of Environmental Protection Florida Coastal Management Program  through National Oceanic and Atmospheric Administration;
National Research Fund  FNR  of Luxembourg	National Research Fund  FNR  of Luxembourg;National Research Fund  FNR  in Luxembourg;
FNRS  Fonds National de la Recheche Scientifique Brussels	Fonds de la Recherche Scientifique - FNRS;FNRS  Fonds National de la Recheche Scientifique Brussels;Belgian National Fund for Scientific Research  FNRS;
FONACIT Venezuela	FONACIT Venezuela;FONACIT;
Fond quebecois de la recherche en science et technologie	Fond quebecois de la recherche en science et technologie;
Fondazione Ing  Aldo Gini	Fondazione Ing  Aldo Gini;
FONDECYT	Fondecyt Project;FONDECYT;
Fondo Europeo de Desarrollo Regional	Fondo Europeo de Desarrollo Regional;
Fondo Sectorial de Investigacion para la Educacion-CONACyT	Fondo Sectorial de Investigacion para la Educacion-CONACyT;
Fonds de Recherche en Sante du Quebec	Fonds de Recherche en Sante du Quebec;
Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture	Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture;
Fonds quebecois de la recherche sur la nature et les technologies	Fonds quebecois de la recherche sur la nature et les technologies;
Ford Motor Company	Ford Motor Company;
ForEAdapt	ForEAdapt;
Spanish Min  of Educ  and Science by the FORMALISM project	Spanish Min  of Educ  and Science by the FORMALISM project;
Bavarian State Ministry of Education Science and the Arts FORSEC research association	Bavarian State Ministry of Education Science and the Arts FORSEC research association;
FORTH-ICS internal RTD Programme  Ambient Intelligence and Smart Environments	FORTH-ICS internal RTD Programme  Ambient Intelligence and Smart Environments;
Foundation for the Advancement of Soft Computing Mieres Asturias Spain	Foundation for the Advancement of Soft Computing Mieres Asturias Spain;
Foundation for University Key Teacher by the Beijing Education Commission	Foundation for University Key Teacher by the Beijing Education Commission;
Foundation of Nokia Corporation	Foundation of Nokia Corporation;
Foundation of Post-Doctor in China	Foundation of Post-Doctor in China;
Foundation of Shenzhen Government	Foundation of Shenzhen Government;
Foundation of the National Institutes of Health	Foundation of the National Institutes of Health;
Foundation of Xiamen Science and Technology Bureau	Foundation of Xiamen Science and Technology Bureau;
Marie Curie FP6 Research Training Programme	Romanian Academ and the FP7 IRSES RABOT project;project AComIn  Advanced Computing for Innovation  - FP7 Capacity Programme  Research Potential of Convergence Regions;FP7 ICT project C2Learn;FP7 Dem@care project;FP7 Capacity Programme  Research Potential of Convergence Regions;European Union Seventh Framework Programme  FP7;European projects FP7;European FP7 Project Future Cities;EU Seventh Framework Programme  FP7;EU FP7 Projects RoboHow;EU FP7 project UrbanFlood;EU FP7 Programme  FP7-NMP-ENV-ENERGY-ICT-EeB;EU FP7 programme;EU FP7 ICT project   MultiRole Shadow Robotic System for Independent Living   SRS;EU FP7 ICT;EC FP7;Marie Curie FP6 Research Training Programme;
Net2  Network for Enabling Networked Knowledge from the FP7-PEOPLE-IRSES call	Net2  Network for Enabling Networked Knowledge from the FP7-PEOPLE-IRSES call;
Marie Curie Initial Training Network FP7-PEOPLE-ITN CogNovo	Marie Curie Initial Training Network FP7-PEOPLE-ITN CogNovo;
European Community's Seventh Framework Program  FP7-SPACE-2010-1	European Community's Seventh Framework Program  FP7-SPACE-2010-1;
FPI Program	FPI Program;
FPI-UAM	FPI-UAM;
FPU grant  Formacion de Profesorado Universitario  from the Spanish Ministry of Education Culture and Sports	Fonds Quebecois sur la Nature et les Technologies  FQRNT;Fonds Quebecois de la Recherche sur la Nature et les Technologies  FQRNT;FPU of the Spanish Ministry of Education Culture and Sports  Ministerio de Educacion Cultura y Deporte;FPU grant  Formacion de Profesorado Universitario  from the Spanish Ministry of Education Culture and Sports;
Fonds quebecois de la recherche sur la societe et la culture  FQRSC	FQRSC  Quebec;Fonds quebecois de la recherche sur la societe et la culture  FQRSC;
Federal Railroad Administration Office of Research and Development FRA Grant	Federal Railroad Administration Office of Research and Development FRA Grant;
project  FRACTOS  granted by the French Region Centre	project  FRACTOS  granted by the French Region Centre;
France-Venezuela cooperation program	France-Venezuela cooperation program;
Franklin & Marshall College Hackman Scholars Program	French Centre National de la Recherche Scientifique;Franklin & Marshall College Hackman Scholars Program;
French government	French National Research Agency;French government;
French Research Agency	French Research Agency;
Fresenius Medical Care	Fresenius Medical Care;
Ministry of Higher Education Malaysia under the Fundamental Research Grant Scheme  FRGS	Fonds pour la formation a la Recherche dans l'Industrie et dans l'Agriculture  FRIA;Research Grant Scheme FRGS of Ministry of Higher Education Malaysia;Ministry of Higher Education Malaysia under the Fundamental Research Grant Scheme  FRGS;Ministry of Education Malaysia under Fundamental Research Grant Scheme  FRGS;Fundamental Research Grant Scheme  FRGS  by the Ministry of Education Malaysia;Fundamental Research Grant Scheme  FRGS;FRGS Grant;
Fonds de Recherche du Quebec-Nature et Technologies  FRQNT	Fonds de Recherche du Quebec-Nature et Technologies  FRQNT;Fonds de Recherche du Quebec Nature et Technologies  FRQNT;
Fonds de la Recherche en Sante du Quebec  FRSQ	FSE;Fonds de la Recherche en Sante du Quebec  FRSQ;
FSSCC  Financial Services Sector Coordinating Committee for Critical Infrastructure Protection and Homeland Security	FSSCC  Financial Services Sector Coordinating Committee for Critical Infrastructure Protection and Homeland Security;
Fuel Cells and Hydrogen Joint Technology Initiative	Fuel Cells and Hydrogen Joint Technology Initiative;
Fulbright/FLAD	Fulbright/FLAD at UCDavis;Fulbright/FLAD;
Fund of the State Ethnic Affairs Commission of the People's Republic of China	Fund of the State Ethnic Affairs Commission of the People's Republic of China;
Fundaao para a Ciencia e Tecnologia	Fundaao para a Ciencia e Tecnologia;
Fundacao Araucaria  Brazilian Agency	Fundacao de Amparo a Pesquisa do Estado de Minas Gerais;Fundacao Araucaria  Brazilian Agency;
Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro	Fundacao de Amparo A Pesquisa do Estado do Rio de Janeiro;
Fundacao Gulbenkian through a PhD scholarship	Fundacao para a Ciencia e a Tecnologia;Fundacao Gulbenkian through a PhD scholarship;
Fundacao para a Ciencia e Tecnologia Portugal	Fundacao para a Ciencia e Tecnologia Portugal;
Fundacao para o Desenvolvimento da Unesp  Fundunesp	Fundacao para o Desenvolvimento da Unesp  Fundunesp;
Fundacao para o Incremento da Pesquisa e do Aperfeicoamento Industrial	Fundacaopara a Ciencia e a Tecnologia;Fundacao para o Incremento da Pesquisa e do Aperfeicoamento Industrial;
Fundacio Caixa-Castello	Fundacio Caixa-Castello;
Fundacion Carolina	Fundacion Carolina;
Fundacion Iberdrola	Fundacion Iberdrola;
Fundacion Seneca	Fundacion Seneca;
Fundamental Research Funds for Central Universities of China	Fundamental Research Funds for the Central Universities;Fundamental Research Funds for Central Universities of China;
Fundamental Research Funds for the Central Universities China	Fundamental Research Funds for the Central Universities China;
Fundamental Research Funds for the Central Universities of China	Fundamental Research Funds for the Central Universities of China;
Fundamental Research Grant Scheme by Malaysia Ministry of Higher Education	Fundamental Research Grant Scheme by Malaysia Ministry of Higher Education;
Fundamental Research Grant Scheme Ministry of Higher Education Malaysia	Fundamental Research Grant Scheme Ministry of Higher Education Malaysia;
Fundation of State Key Laboratory of Robotics	Fundation of State Key Laboratory of Robotics;
Furong Scholar Program	Furong Scholar Program;
Future of Humanity Institute	Future of Humanity Institute;
Austrian Science Fund  FWF  through the SFB FoQuS F	FWF;Austrian Science Fund FWF;Austrian Science Fund  FWF  through the SFB FoQuS F;Austrian Science Fund  FWF;
Fonds voor Wetenschappelijk Onderzoek  FWO	FWO Vlaanderen;Fonds voor Wetenschappelijk Onderzoek  FWO;Flanders Research Foundation  FWO;
G  Gaslini Foundation Genova Italy	G  Gaslini Foundation Genova Italy;
G  Harold and Leila Y  Mathers Charitable Foundation	G  Harold and Leila Y  Mathers Charitable Foundation;
GA AV CR	GA AV CR;
GA CR Projects	GA CR Projects;
GA UK	GA UK;
Gachon University Research Fund	GACR;Gachon University Research Fund;
Korea Ministry of Environment via the GAIA project	Korea Ministry of Environment via the GAIA project;
Galician University System of Xunta de Galicia	Galician University System of Xunta de Galicia;
Singapore-MIT GAMBIT Game Lab	Singapore-MIT GAMBIT Game Lab;
Gansu Provincial Sci  & Tech  Department	Gansu Provincial Sci  & Tech  Department;
Gatsby Charitable foundation	Gatsby Charitable foundation;
GDoMS entities	GDoMS entities;
GE Ecomagination Challenge  Powering the Grid in addition to collaboration between GE Global Research	GE Ecomagination Challenge  Powering the Grid in addition to collaboration between GE Global Research;
Genentech	Genentech;
General Authority for Applied Education and Training in Kuwait	General Authority for Applied Education and Training in Kuwait;
General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion	General Directorate of Research Development and Innovation  Direccion Xeral de Investigacion Desenvolvemento e Innovacion;
Genigraph company  GenitechGroup	GEO-DAS-BC project  Ministerio de Economia y Competitividad and FondoEuropeo de Desarrollo Regional FEDER;Genigraph company  GenitechGroup;
Geographic Information System group University College of Southeast Norway	Geographic Information System group University College of Southeast Norway;
Canadian Geomatics for Informed Decisions  GEOIDE  Network Centers of Excellence  NCE	Geomatics for Informed Decision  GEOIDE  Network Centers of Excellence;Canadian Geomatics for Informed Decisions  GEOIDE  Network Centers of Excellence  NCE;
George Mason University Summer Research Funding	George Mason University Summer Research Funding;
Georgia Institute of Technology on behalf of the National Aeronautics and Space Administration	Georgia Institute of Technology on behalf of the National Aeronautics and Space Administration;
Georgia Space Grant Program	Georgia Space Grant Program;
GEO-SUD EQUIPEX Project within the framework of the call for proposals  Equipments of Excellence  of the French program  Programme d'Investissements d'Avenir	GEO-SUD EQUIPEX Project within the framework of the call for proposals  Equipments of Excellence  of the French program  Programme d'Investissements d'Avenir;
Gerdau Company  Gerdau Acos Especiais Piratini State of Rio Grande do Sul Brazil	German Academic Exchange Service;Gerdau Company  Gerdau Acos Especiais Piratini State of Rio Grande do Sul Brazil;
German company Festo	German company Festo;
German federal Environmental Foundation	German federal Environmental Foundation;
German federal ministries	German federal ministries;
German Federal Ministry for Economic Affairs and Energy	German Federal Ministry of Education and Research;German Federal Ministry for Economic Affairs and Energy;
German National Academic Foundation	German National Academic Foundation;
German Research Foundation	German Research Foundation;
Ghent University	Ghent University;
Spanish Ministry of Industry the Grupo de Ingenieria Avanzada  GIA  of the Aragon Institute of Technology	Spanish Ministry of Industry the Grupo de Ingenieria Avanzada  GIA  of the Aragon Institute of Technology;grupo de Investigacion en Inteligencia Artificial   GIA  de la Universidad Tecnologica de Pereira  UTP;Grupo de Ingenieria Avanzada  GIA  of the Aragon Institute of Technology;
Gilead	Gilead;
Compagnia San Paolo within the GINSENG project	Compagnia San Paolo within the GINSENG project;
Grupo de Investigacion en Sistemas de Energia Electrica  GISEL  from Escuela de Ingenierias Electrica Electronicay Telecomunicaciones  E3T  at Universidad Industrial de Santander  UIS	Grupo de Investigacion en Sistemas de Energia Electrica  GISEL  from Escuela de Ingenierias Electrica Electronicay Telecomunicaciones  E3T  at Universidad Industrial de Santander  UIS;
Gobierno de Aragon	Gobierno de Aragon;
Spanish Ministry of Industry Tourism and Commerce under the project GODO2	Spanish Ministry of Industry Tourism and Commerce under the project GODO2;
